code,GEOID,NAME,STATEFP
OCA,12087,Monroe,12
CSE,08051,Gunnison,08
CUS,35029,Luna,35
JCY,48171,Gillespie,48
WLR,02130,Ketchikan Gateway,02
NUP,02050,Bethel,02
PTC,02198,Prince of Wales-Hyder,02
ICY,02282,Yakutat,02
PPV,02198,Prince of Wales-Hyder,02
KKK,02290,Yukon-Koyukuk,02
MHS,06093,Siskiyou,06
NIR,48025,Bee,48
GCT,04015,Mohave,04
ELW,02261,Valdez-Cordova,02
LVD,02050,Bethel,02
HGZ,02290,Yukon-Koyukuk,02
OTN,18083,Knox,18
TLF,02290,Yukon-Koyukuk,02
BZT,48039,Brazoria,48
HBH,02195,Petersburg,02
FAK,02220,Sitka,02
BYW,53055,San Juan,53
DRF,02122,Kenai Peninsula,02
BDF,17011,Bureau,17
TEH,02240,Southeast Fairbanks,02
VRS,29141,Morgan,29
GDH,02070,Dillingham,02
ATT,02050,Bethel,02
LIV,02290,Yukon-Koyukuk,02
PDB,02164,Lake and Peninsula,02
KOZ,02150,Kodiak Island,02
TNK,02050,Bethel,02
MNT,02290,Yukon-Koyukuk,02
TKI,02198,Prince of Wales-Hyder,02
WKK,02070,Dillingham,02
WFB,02130,Ketchikan Gateway,02
RFK,28125,Sharkey,28
NNK,02060,Bristol Bay,02
BKF,02164,Lake and Peninsula,02
BCS,22075,Plaquemines,22
MMN,25017,Middlesex,25
SPQ,06037,Los Angeles,06
TSS,36061,New York,36
NYS,36061,New York,36
WYB,02130,Ketchikan Gateway,02
CWS,53055,San Juan,53
TEK,02261,Valdez-Cordova,02
DUF,37053,Currituck,37
SSW,53055,San Juan,53
FOB,06045,Mendocino,06
PUL,53035,Kitsap,53
CCD,06037,Los Angeles,06
AXB,36045,Jefferson,36
REE,48303,Lubbock,48
WDN,53055,San Juan,53
WWP,02198,Prince of Wales-Hyder,02
CHU,02050,Bethel,02
UGS,02164,Lake and Peninsula,02
JID,06037,Los Angeles,06
PSQ,42045,Delaware,42
KLL,02164,Lake and Peninsula,02
SGW,02198,Prince of Wales-Hyder,02
WTL,02050,Bethel,02
TWA,02070,Dillingham,02
KCQ,02164,Lake and Peninsula,02
CEX,02090,Fairbanks North Star,02
SOL,02180,Nome,02
HED,02013,Aleutians East,02
TWE,02180,Nome,02
KTH,02070,Dillingham,02
NKI,02198,Prince of Wales-Hyder,02
CDL,02188,Northwest Arctic,02
AOS,02150,Kodiak Island,02
BSW,02261,Valdez-Cordova,02
ALZ,02150,Kodiak Island,02
AQY,02020,Anchorage,02
HAE,04005,Coconino,04
BNF,02220,Sitka,02
BQV,02105,Hoonah-Angoon,02
BYA,02240,Southeast Fairbanks,02
PYS,06007,Butte,06
CGA,02198,Prince of Wales-Hyder,02
CHP,02290,Yukon-Koyukuk,02
CKD,02050,Bethel,02
CKR,53055,San Juan,53
CKU,02261,Valdez-Cordova,02
CKX,02240,Southeast Fairbanks,02
CXC,02261,Valdez-Cordova,02
CYM,02220,Sitka,02
CZN,02261,Valdez-Cordova,02
CZO,02261,Valdez-Cordova,02
IUA,36069,Ontario,36
DJN,02240,Southeast Fairbanks,02
DCK,02188,Northwest Arctic,02
DHB,53055,San Juan,53
EDA,02198,Prince of Wales-Hyder,02
EXI,02100,Haines,02
RGR,48133,Eastland,48
FLT,02290,Yukon-Koyukuk,02
GNU,02050,Bethel,02
HEY,01045,Dale,01
HGT,06053,Monterey,06
HPV,15007,Kauai,15
WKL,15001,Hawaii,15
HKB,02240,Southeast Fairbanks,02
HWI,02110,Juneau,02
HYL,02198,Prince of Wales-Hyder,02
JLA,02122,Kenai Peninsula,02
JPN,51013,Arlington,51
JRA,36061,New York,36
JRB,36047,Kings,36
