geoid_a,geoid_b,pax_ab,pax_ba,passengers
06037,32003,159728,160189,319917
06037,06081,153022,151605,304627
06037,36081,142767,139555,282322
17031,36081,133883,133485,267368
12095,13063,117487,117867,235354
06037,17031,117781,113950,231731
12086,36081,115418,114694,230112
13063,36081,114345,112414,226759
12011,13063,104675,105987,210662
12011,36081,100153,102651,202804
12095,36081,100222,101848,202070
06037,53033,98175,98018,196193
04013,17031,95038,97421,192459
12095,17031,92514,93805,186319
08031,17031,90193,93027,183220
04013,06037,90083,88000,178083
06001,06037,85780,85211,170991
06037,08031,83101,87723,170824
04013,08031,84642,84781,169423
06037,13063,82213,87064,169277
06037,48439,82715,85122,167837
13063,17031,83070,82397,165467
06037,06085,82539,81941,164480
17031,32003,82482,79701,162183
06037,48201,79672,79432,159104
25025,36081,81983,75948,157931
06037,06067,77622,78723,156345
12057,13063,77208,77781,154989
12095,34013,76191,78717,154908
06037,49035,76542,78356,154898
08031,48201,76497,75743,152240
17031,27053,74007,71278,145285
06081,53033,71810,72407,144217
08031,32003,72701,71109,143810
13063,48201,72154,70248,142402
17031,48439,71412,69524,140936
06081,36081,70562,69903,140465
06081,32003,68950,70555,139505
12011,34013,68800,69556,138356
12086,13063,68589,69564,138153
36081,37119,68734,68666,137400
12095,42101,67229,69253,136482
13063,25025,68162,68119,136281
06081,17031,66980,68128,135108
36081,48439,66273,68513,134786
17031,48201,67236,65712,132948
04013,27053,63368,66041,129409
32003,53033,62919,64562,127481
04013,53033,61935,64266,126201
13063,48439,63175,60965,124140
06037,41051,60339,61557,121896
32003,48439,60014,60956,120970
13063,26163,60090,58706,118796
08031,48439,59427,59367,118794
11001,13063,57325,59524,116849
06081,34013,59563,56723,116286
12095,26163,56392,59215,115607
08031,49035,58311,57279,115590
17031,25025,56765,58672,115437
06073,06081,57981,55865,113846
08031,13063,56906,56648,113554
11001,17031,57967,55195,113162
06037,25025,56629,56321,112950
12071,17031,55037,56706,111743
06081,08031,55017,56343,111360
13063,27053,55024,55884,110908
13063,32003,55638,54888,110526
22051,48201,53006,56836,109842
08031,53033,55921,53775,109696
12031,13063,54211,55431,109642
12057,17031,54039,55429,109468
12095,48201,54121,53182,107303
13063,24003,52541,54470,107011
