t,x,y
0.000000,282.4500,182.6200
0.012272,277.0168,185.0637
0.024544,271.6204,187.5876
0.036816,266.2630,190.1931
0.049087,260.9478,192.8839
0.061359,255.6754,195.6573
0.073631,250.4476,198.5141
0.085903,245.2680,201.4575
0.098175,240.1376,204.4857
0.110447,235.0582,207.5985
0.122718,230.0317,210.7963
0.134990,225.0620,214.0815
0.147262,220.1496,217.4518
0.159534,215.2965,220.9070
0.171806,210.5047,224.4467
0.184078,205.7767,228.0713
0.196350,201.1153,231.7809
0.208621,196.5210,235.5735
0.220893,191.9959,239.4482
0.233165,187.5416,243.4043
0.245437,183.1599,247.4406
0.257709,178.8541,251.5577
0.269981,174.6241,255.7527
0.282252,170.4713,260.0241
0.294524,166.3970,264.3705
0.306796,162.4024,268.7902
0.319068,158.4893,273.2822
0.331340,154.6592,277.8452
0.343612,150.9117,282.4763
0.355884,147.7294,287.4748
0.368155,145.1367,292.8385
0.380427,142.6174,298.2371
0.392699,140.1739,303.6703
0.404971,137.8067,309.1373
0.417243,135.5166,314.6370
0.429515,133.3047,320.1686
0.441786,131.1725,325.7314
0.454058,129.1219,331.3248
0.466330,127.1525,336.9473
0.478602,125.2652,342.5979
0.490874,123.4621,348.2759
0.503146,121.7438,353.9802
0.515418,120.1100,359.7092
0.527689,118.5616,365.4619
0.539961,117.1011,371.2376
0.552233,115.7271,377.0344
0.564505,114.4398,382.8511
0.576777,113.2415,388.6868
0.589049,112.1314,394.5399
0.601320,111.1091,400.4089
0.613592,110.1756,406.2928
0.625864,109.3317,412.1902
0.638136,108.5758,418.0995
0.650408,108.0377,424.0286
0.662680,107.8759,429.9838
0.674952,107.8177,435.9409
0.687223,107.8558,441.8982
0.699495,107.9907,447.8541
0.711767,108.2321,453.8066
0.724039,108.5692,459.7544
0.736311,109.0101,465.6955
0.748583,109.5544,471.6280
0.760854,110.1957,477.5507
0.773126,110.9459,483.4608
0.785398,111.7960,489.3572
0.797670,112.7445,495.2386
0.809942,113.8031,501.1012
0.822214,114.9587,506.9454
0.834486,116.2150,512.7689
0.846757,117.5767,518.5685
0.859029,119.0337,524.3450
0.871301,120.5930,530.0948
0.883573,122.2516,535.8166
0.895845,124.0026,541.5109
0.908117,125.8572,547.1723
0.920388,127.8032,552.8029
0.932660,129.8416,558.4007
0.944932,131.9774,563.9621
0.957204,134.1987,569.4899
0.969476,136.5144,574.9788
0.981748,138.9161,580.4306
0.994020,141.4025,585.8444
1.006291,143.9779,591.2164
1.018563,146.6302,596.5508
1.030835,149.3709,601.8404
1.043107,152.1860,607.0907
1.055379,155.0818,612.2970
1.067651,158.0520,617.4611
1.079922,161.0966,622.5819
1.092194,164.2143,627.6583
1.104466,167.4010,632.6918
1.116738,170.6587,637.6797
1.129010,173.9810,642.6247
1.141282,177.3709,647.5236
1.153554,180.8224,652.3794
1.165825,184.3371,657.1896
1.178097,187.9112,661.9558
1.190369,191.5434,666.6779
1.202641,195.2339,671.3546
1.214913,198.9766,675.9896
1.227185,202.7773,680.5772
1.239456,206.6256,685.1250
1.251728,210.5286,689.6259
1.264000,214.4786,694.0855
1.276272,218.5018,698.4792
1.288544,222.5667,702.8344
1.300816,226.6634,707.1598
1.313088,230.7925,711.4543
1.325359,234.9525,715.7188
1.337631,239.1431,719.9532
1.349903,243.3638,724.1576
1.362175,247.6144,728.3318
1.374447,251.8943,732.4760
1.386719,256.2033,736.5900
1.398990,260.5408,740.6738
1.411262,264.9067,744.7272
1.423534,269.3007,748.7502
1.435806,273.7221,752.7430
1.448078,278.1705,756.7058
1.460350,282.6454,760.6386
1.472622,287.1465,764.5414
1.484893,291.6734,768.4143
1.497165,296.2256,772.2573
1.509437,300.8029,776.0705
1.521709,305.4048,779.8539
1.533981,310.0309,783.6077
1.546253,314.6809,787.3318
1.558524,319.3543,791.0265
1.570796,324.0509,794.6917
1.583068,328.7702,798.3277
1.595340,333.5118,801.9344
1.607612,338.2755,805.5120
1.619884,343.0608,809.0606
1.632156,347.8674,812.5803
1.644427,352.6949,816.0713
1.656699,357.5430,819.5336
1.668971,362.4113,822.9674
1.681243,367.2995,826.3729
1.693515,372.2073,829.7501
1.705787,377.1342,833.0993
1.718058,382.0801,836.4205
1.730330,387.0445,839.7139
1.742602,392.0057,843.0117
1.754874,396.8958,846.4144
1.767146,401.7410,849.8807
1.779418,406.5392,853.4117
1.791690,411.2915,857.0044
1.803961,415.9979,860.6570
1.816233,420.6561,864.3707
1.828505,425.2685,868.1413
1.840777,429.8333,871.9693
1.853049,434.3510,875.8528
1.865321,438.8221,879.7899
1.877592,443.2451,883.7809
1.889864,447.6224,887.8221
1.902136,451.9510,891.9154
1.914408,456.2344,896.0559
1.926680,460.4692,900.2461
1.938952,464.6593,904.4810
1.951224,468.8012,908.7631
1.963495,472.8985,913.0878
1.975767,476.9486,917.4568
1.988039,480.9542,921.8667
2.000311,484.9139,926.3178
2.012583,488.8286,930.8085
2.024855,492.6996,935.3369
2.037126,496.5248,939.9041
2.049398,500.3072,944.5068
2.061670,504.0459,949.1452
2.073942,507.7409,953.8183
2.086214,511.3940,958.5243
2.098486,515.0044,963.2631
2.110758,518.5725,968.0339
2.123029,522.0998,972.8350
2.135301,525.5227,977.7100
2.147573,528.8568,982.6471
2.159845,532.1909,987.5843
2.172117,535.5249,992.5215
2.184389,538.8589,997.4587
2.196660,542.1929,1002.3960
2.208932,545.5268,1007.3333
2.221204,548.8606,1012.2706
2.233476,552.1945,1017.2080
2.245748,555.5282,1022.1454
2.258020,558.8620,1027.0828
2.270292,562.1957,1032.0202
2.282563,565.5293,1036.9577
2.294835,568.8629,1041.8952
2.307107,572.1965,1046.8328
2.319379,575.5300,1051.7703
2.331651,578.8635,1056.7079
2.343923,582.1969,1061.6455
2.356194,585.5303,1066.5832
2.368466,588.8636,1071.5209
2.380738,592.1969,1076.4586
2.393010,595.5302,1081.3963
2.405282,598.8634,1086.3341
2.417554,602.2247,1087.6274
2.429826,605.6440,1082.7489
2.442097,609.0799,1077.8821
2.454369,612.5317,1073.0265
2.466641,615.9993,1068.1821
2.478913,619.4825,1063.3490
2.491185,622.9815,1058.5273
