kind,index,x,y
anchor,0,282.45,182.62
anchor,1,149.01,284.89
anchor,2,108.10,422.23
anchor,3,215.25,694.95
anchor,4,390.57,842.03
anchor,5,524.01,975.47
anchor,6,600.96,1089.44
anchor,7,736.35,917.03
anchor,8,910.70,761.19
anchor,9,1089.92,477.75
anchor,10,971.09,222.55
anchor,11,754.86,198.20
anchor,12,603.88,312.16
anchor,13,485.05,206.97
control,0,200.64,218.66
control,1,115.90,351.12
control,2,102.26,569.31
control,3,289.27,775.80
control,4,463.62,891.71
control,5,562.49,1032.45
control,6,661.35,1002.75
control,7,811.35,833.27
control,8,1068.49,639.44
control,9,1096.74,309.24
control,10,866.87,170.93
control,11,655.51,230.34
control,12,540.57,235.21
control,13,387.65,150.47
