index,pixel_x,pixel_y
0,6.63,9.62
1,8.01,18.83
2,7.55,29.41
3,7.09,42.30
4,7.55,53.81
5,9.86,67.15
6,11.24,80.50
7,13.54,92.93
8,13.54,108.11
9,15.38,121.00
10,17.22,132.97
11,18.60,146.31
12,20.44,161.96
13,22.74,176.69
14,24.58,192.80
15,26.42,207.98
16,29.64,223.17
17,31.49,238.82
18,34.25,253.09
19,37.93,268.27
20,39.77,283.92
21,42.07,302.33
22,44.37,317.06
23,48.97,334.55
24,54.50,351.11
25,58.64,369.52
26,63.24,387.47
27,70.14,406.80
28,74.75,422.91
29,78.89,435.34
30,83.49,445.92
31,89.01,460.19
32,95.00,473.53
33,101.44,488.26
34,110.18,501.61
35,120.31,514.49
36,129.05,525.54
37,138.26,535.20
38,147.00,541.65
39,158.51,549.47
40,171.86,557.30
41,184.28,560.98
42,194.87,562.82
43,203.61,562.82
44,213.74,561.44
45,224.78,558.22
46,233.99,558.22
47,245.95,552.69
48,258.38,542.57
49,265.74,533.82
50,273.11,527.84
51,278.63,520.02
52,286.45,508.51
53,294.74,497.01
54,300.72,481.82
55,309.00,469.39
56,313.14,455.59
57,318.67,443.16
58,322.81,428.89
59,328.33,414.16
60,332.47,398.52
61,337.08,386.55
62,342.60,369.06
63,345.82,355.26
64,348.58,342.83
65,350.88,330.40
66,355.49,316.60
67,358.71,302.33
68,361.93,291.28
69,363.31,275.64
70,366.99,258.61
71,369.29,247.10
72,371.59,238.36
73,372.51,224.55
74,376.66,207.98
75,378.04,194.64
76,380.34,184.51
77,382.18,171.16
78,383.10,154.60
79,386.78,140.33
80,388.62,123.30
81,388.16,113.18
82,391.38,99.37
83,393.68,84.64
84,394.61,73.60
85,396.45,54.27
86,398.29,39.54
87,398.29,23.43
88,398.75,11.47
