index,pixel_x,pixel_y
0,234.73,198.20
1,125.64,309.24
2,89.60,484.56
3,140.25,628.72
4,244.47,739.76
5,363.30,832.29
6,464.60,936.51
7,550.31,1029.05
8,598.04,1097.23
9,693.49,976.45
10,778.23,896.58
11,863.95,810.86
12,956.48,742.68
13,1029.53,677.42
14,1087.00,582.94
15,1110.38,483.59
16,1104.53,376.45
17,1038.30,267.36
18,970.12,206.97
19,870.77,164.11
20,760.70,173.85
21,674.01,212.81
22,619.47,263.46
23,602.91,283.92
24,548.36,229.37
25,458.75,180.67
26,349.66,168.98
27,248.36,194.31
